hautes;CE1;ADJ/NOM
hauts;CE1;ADJ/NOM
inconnu;CE2;ADJ/NOM
inconnue;CE2;ADJ/NOM
inconnues;CE2;ADJ/NOM
inconnus;CE2;ADJ/NOM
infirme;CE2;ADJ/NOM
infirmes;CE2;ADJ/NOM
insigne;CE2;ADJ/NOM
insignes;CE2;ADJ/NOM
intérieur;CM1;ADJ/NOM
intérieure;CM1;ADJ/NOM
intérieures;CM1;ADJ/NOM
intérieurs;CM1;ADJ/NOM
large;CE1;ADJ/NOM
larges;CE1;ADJ/NOM
liquide;CE1;ADJ/NOM
liquides;CE1;ADJ/NOM
local;CE2;ADJ/NOM
locale;CE2;ADJ/NOM
locales;CE2;ADJ/NOM
locaux;CE2;ADJ/NOM
lointain;CM2;ADJ/NOM
lointains;CM2;ADJ/NOM
long;CE2;ADJ/NOM
longs;CE2;ADJ/NOM
maigre;CM1;ADJ/NOM
maigres;CM1;ADJ/NOM
malade;CE1;ADJ/NOM
malades;CE1;ADJ/NOM
malheureuse;CM1;ADJ/NOM
malheureuses;CM1;ADJ/NOM
malheureux;CM1;ADJ/NOM
malin;CE1;ADJ/NOM
maline;CE1;ADJ/NOM
malines;CE1;ADJ/NOM
malins;CE1;ADJ/NOM
manuel;CM1;ADJ/NOM
manuelle;CM1;ADJ/NOM
manuelles;CM1;ADJ/NOM
manuels;CM1;ADJ/NOM
massif;CM1;ADJ/NOM
massifs;CM1;ADJ/NOM
mécanique;CE2;ADJ/NOM
mécaniques;CE2;ADJ/NOM
meilleur;CM1;ADJ/NOM
meilleure;CM1;ADJ/NOM
meilleures;CM1;ADJ/NOM
meilleurs;CM1;ADJ/NOM
merveilleuse;CM2;ADJ/NOM
merveilleuses;CM2;ADJ/NOM
merveilleux;CM2;ADJ/NOM
mignon;CM1;ADJ/NOM
mignonne;CM1;ADJ/NOM
mignonne;CM1;ADJ/NOM
mignonnes;CM1;ADJ/NOM
mignonnes;CM1;ADJ/NOM
mignons;CM1;ADJ/NOM
molle;CM1;ADJ/NOM
molles;CM1;ADJ/NOM
mortel;CE2;ADJ/NOM
mortelle;CE2;ADJ/NOM
mortelles;CE2;ADJ/NOM
mortels;CE2;ADJ/NOM
mou;CM1;ADJ/NOM
mous;CM1;ADJ/NOM
naturel;CM2;ADJ/NOM
naturelle;CM2;ADJ/NOM
naturelles;CM2;ADJ/NOM
naturels;CM2;ADJ/NOM
nouveau;CE2;ADJ/NOM
nouveaux;CE2;ADJ/NOM
nouvelle;CE2;ADJ/NOM
nouvelles;CE2;ADJ/NOM
nu;CM1;ADJ/NOM
nul;CE2;ADJ/NOM
nulle;CE2;ADJ/NOM
nulles;CE2;ADJ/NOM
nuls;CE2;ADJ/NOM
nus;CM1;ADJ/NOM
ordinaire;CM1;ADJ/NOM
ordinaires;CM1;ADJ/NOM
particulier;CM1;ADJ/NOM
particuliers;CM1;ADJ/NOM
pauvre;CP;ADJ/NOM
pauvres;CP;ADJ/NOM
personnel;CM1;ADJ/NOM
personnels;CM1;ADJ/NOM
petit;CE1;ADJ/NOM
petite;CE1;ADJ/NOM
petites;CE1;ADJ/NOM
petits;CE1;ADJ/NOM
pieux;CM1;ADJ/NOM
plat;CE2;ADJ/NOM
plate;CE2;ADJ/NOM
plates;CE2;ADJ/NOM
plats;CE2;ADJ/NOM
possible;CE2;ADJ/NOM
possibles;CE2;ADJ/NOM
pourpre;CM1;ADJ/NOM
pourpres;CM1;ADJ/NOM
protecteur;CE2;ADJ/NOM
protecteurs;CE2;ADJ/NOM
protectrice;CE2;ADJ/NOM
protectrices;CE2;ADJ/NOM
pur;CE2;ADJ/NOM
pure;CE2;ADJ/NOM
pures;CE2;ADJ/NOM
purs;CE2;ADJ/NOM
rapide;CE2;ADJ/NOM
rapides;CE2;ADJ/NOM
religieuse;CM1;ADJ/NOM
religieuses;CM1;ADJ/NOM
religieux;CM1;ADJ/NOM
riche;CP;ADJ/NOM
riches;CP;ADJ/NOM
rond;CM1;ADJ/NOM
ronde;CM1;ADJ/NOM
rondes;CM1;ADJ/NOM
ronds;CM1;ADJ/NOM
rustique;CE2;ADJ/NOM
rustiques;CE2;ADJ/NOM
sauvage;CE1;ADJ/NOM
sauvages;CE2;ADJ/NOM
scolaire;CM1;ADJ/NOM
scolaires;CM1;ADJ/NOM
second;CM1;ADJ/NOM
seconde;CM1;ADJ/NOM
secondes;CM1;ADJ/NOM
seconds;CM1;ADJ/NOM
secret;CE2;ADJ/NOM
secrète;CE2;ADJ/NOM
secrètes;CE2;ADJ/NOM
secrets;CE2;ADJ/NOM
semblable;CM1;ADJ/NOM
semblables;CM1;ADJ/NOM
sensible;CM2;ADJ/NOM
sensibles;CM2;ADJ/NOM
singulier;CE1;ADJ/NOM
singuliers;CE1;ADJ/NOM
solide;CP;ADJ/NOM
solides;CP;ADJ/NOM
solitaire;CM1;ADJ/NOM
solitaires;CM1;ADJ/NOM
sourd;CE2;ADJ/NOM
sourde;CE2;ADJ/NOM
sourdes;CE2;ADJ/NOM
sourds;CE2;ADJ/NOM
sublime;CM1;ADJ/NOM
sublimes;CM1;ADJ/NOM
supérieur;CM1;ADJ/NOM
supérieure;CM1;ADJ/NOM
supérieures;CM1;ADJ/NOM
supérieurs;CM1;ADJ/NOM
timide;CE1;ADJ/NOM
timides;CE1;ADJ/NOM
végétal;CM1;ADJ/NOM
végétaux;CM1;ADJ/NOM
vide;CE1;ADJ/NOM
vides;CE1;ADJ/NOM
vieille;CE2;ADJ/NOM
vieilles;CE2;ADJ/NOM
vieux;CE2;ADJ/NOM
vivant;CE2;ADJ/NOM
vivante;CE2;ADJ/NOM
vivantes;CE2;ADJ/NOM
vivants;CE2;ADJ/NOM
autre;CE1;ADJ/PRO
autres;CE1;ADJ/PRO
aucun;CE2;ADJ/PRO/DET
aucune;CE2;ADJ/PRO/DET
aucunes;CE2;ADJ/PRO/DET
aucuns;CE2;ADJ/PRO/DET
certain;CM2;ADJ/PRO/DET
certaine;CM2;ADJ/PRO/DET
certaines;CM2;ADJ/PRO/DET
certains;CM2;ADJ/PRO/DET
absolument;CM2;ADV
actuellement;CM1;ADV
agréablement;CE2;ADV
